                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7771,                 2.9968,                 1.8054,                0.73354,                0.06294,                0.21368,                0.08294,                 1.9466,                 3.2842,                 1.8397,             0.00054023,             0.00054023,             0.00054023
                      1,                 1.6566,                 2.2541,                 1.6711,                0.26031,                0.15094,                 0.0793,                0.02276,                 2.3215,                 5.8282,                 3.0722,               0.001085,               0.001085,               0.001085
                      2,                 1.7234,                 2.1958,                 1.7507,                0.16589,                0.24846,                0.09674,                0.03157,                 2.6452,                 6.1086,                  3.009,              0.0016189,              0.0016189,              0.0016189
                      3,                 1.7302,                 2.0379,                 1.7542,                0.27834,                 0.1841,                0.13523,                0.04074,                 2.4954,                 5.6457,                 2.6023,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.7144,                 1.9345,                 1.7343,                0.23959,                0.28107,                  0.166,                0.05326,                 2.3501,                 3.1341,                  2.396,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6853,                 1.8649,                  1.715,                0.47025,                0.46881,                0.41508,                 0.1602,                 2.0583,                 2.1926,                  2.114,               0.001601,               0.001601,               0.001601
                      6,                 1.6556,                  1.787,                 1.6892,                0.50617,                0.47183,                0.42983,                0.15347,                 2.1911,                 2.9816,                 2.2393,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.6184,                 1.7133,                 1.6461,                  0.443,                0.42456,                0.37621,                0.15013,                 2.0245,                 2.4257,                  2.052,               0.001568,               0.001568,               0.001568
                      8,                 1.6306,                  1.683,                 1.6599,                0.55367,                0.45701,                 0.4565,                0.19341,                 2.0039,                 1.8895,                 1.9803,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5692,                 1.6261,                 1.6069,                0.47831,                0.43457,                0.41727,                0.17287,                  2.027,                 2.2189,                 2.1435,               0.001535,               0.001535,               0.001535
                     10,                 1.5684,                 1.5896,                 1.6262,                0.55746,                0.55574,                0.54903,                0.24413,                 1.8128,                 1.9873,                  1.842,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.551,                 1.5642,                 1.6016,                0.60246,                0.58607,                0.60314,                0.27441,                 1.8268,                 1.5808,                 1.7948,               0.001502,               0.001502,               0.001502
                     12,                  1.547,                 1.5224,                 1.5868,                0.60978,                0.55731,                0.58155,                0.25981,                 1.8302,                 1.7276,                 1.8172,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.5071,                 1.4738,                 1.5671,                0.62613,                0.54789,                 0.5713,                0.26079,                 1.8629,                 1.7286,                 1.8568,               0.001469,               0.001469,               0.001469
                     14,                  1.474,                 1.4143,                 1.5399,                0.72532,                0.66746,                0.72821,                0.35228,                 1.7097,                 1.3622,                 1.6928,              0.0014525,              0.0014525,              0.0014525
                     15,                  1.474,                 1.4095,                 1.5499,                0.48148,                0.49575,                0.46547,                0.20295,                 1.8988,                 2.2481,                 1.9131,               0.001436,               0.001436,               0.001436
                     16,                 1.4702,                 1.3819,                 1.5324,                0.70045,                0.57982,                0.62932,                0.29794,                  1.868,                 1.5957,                 1.7972,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.4734,                 1.3784,                 1.5349,                0.70091,                0.67883,                0.71497,                0.34928,                 1.7015,                 1.3966,                 1.6917,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.4545,                  1.356,                 1.5274,                0.65171,                0.65999,                0.69136,                0.32229,                 1.8299,                 1.3663,                  1.774,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4342,                 1.3271,                 1.5055,                0.69037,                0.63333,                0.67564,                0.30729,                 1.8558,                 1.3982,                 1.8272,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.4099,                 1.2763,                 1.4789,                0.63702,                0.65463,                0.67647,                0.32578,                 1.7325,                  1.393,                 1.7271,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.4161,                 1.2826,                 1.4942,                 0.7136,                0.66968,                0.73049,                 0.3585,                 1.6832,                 1.2832,                  1.668,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3952,                 1.2394,                 1.4765,                0.71079,                0.68261,                0.73474,                0.37442,                  1.664,                 1.2506,                 1.6715,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.3873,                 1.2534,                 1.4715,                0.69274,                0.64156,                0.66202,                0.30917,                  1.806,                 1.4525,                 1.7677,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.3943,                 1.2353,                 1.4844,                  0.768,                0.69474,                0.76787,                0.39115,                 1.6658,                 1.1809,                 1.6925,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.3804,                  1.216,                 1.4581,                0.76345,                0.70346,                0.78507,                0.40837,                 1.6115,                 1.1477,                 1.6154,              0.0012709,              0.0012709,              0.0012709
                     26,                  1.352,                 1.1938,                 1.4486,                0.69172,                0.71767,                0.73668,                0.39025,                 1.6207,                 1.2989,                 1.6241,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3495,                 1.1892,                 1.4527,                0.78356,                0.69127,                 0.7957,                0.41491,                 1.5678,                 1.1487,                 1.5879,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.3474,                  1.168,                 1.4378,                0.73699,                 0.6902,                0.74951,                0.38128,                 1.6334,                 1.1978,                 1.6322,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.3253,                 1.1319,                 1.4228,                 0.7748,                0.73534,                0.81238,                0.42739,                 1.6082,                 1.0979,                  1.616,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3129,                 1.1325,                  1.413,                0.71783,                 0.6289,                0.68098,                0.33699,                 1.7432,                 1.3376,                 1.7537,              0.0011884,              0.0011884,              0.0011884
                     31,                  1.312,                 1.1044,                 1.4163,                0.75761,                0.69571,                0.76785,                 0.4083,                 1.5736,                 1.1833,                 1.6012,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2963,                  1.109,                 1.4031,                0.76062,                0.67295,                0.74945,                 0.4002,                 1.6039,                  1.177,                 1.6095,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.2962,                 1.0956,                  1.392,                0.77042,                0.75035,                0.81277,                0.44089,                 1.5841,                 1.0227,                 1.6007,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.2878,                 1.0765,                 1.3893,                0.75554,                0.71063,                0.78262,                0.41147,                 1.6058,                 1.1531,                 1.6191,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2853,                 1.0724,                 1.3847,                0.78177,                0.74809,                0.82176,                0.44258,                 1.5456,                 1.0373,                 1.5611,              0.0011059,              0.0011059,              0.0011059
